year,avg_temp,ma
1799,8.51,8.177399999999999
1800,8.48,8.1726
1801,8.59,8.184799999999997
1802,8.58,8.240799999999998
1803,8.5,8.242999999999999
1804,8.84,8.250399999999997
1805,8.56,8.254399999999997
1806,8.43,8.245999999999997
1807,8.28,8.231199999999996
1808,7.63,8.248999999999997
1809,7.08,8.230799999999995
1810,6.92,8.225399999999997
1811,6.86,8.187199999999997
1812,7.05,8.155999999999997
1813,7.74,8.160799999999997
1814,7.59,8.144599999999997
1815,7.24,8.124399999999998
1816,6.94,8.094999999999997
1817,6.98,8.070199999999996
1818,7.83,8.091199999999997
1819,7.37,8.084799999999996
1820,7.62,8.083399999999997
1821,8.09,8.088199999999995
1822,8.19,8.088199999999995
1823,7.72,8.078199999999995
1824,8.55,8.073799999999997
1825,8.39,8.057999999999996
1826,8.36,8.059199999999997
1827,8.81,8.070199999999996
1828,8.17,8.062799999999996
1829,7.94,8.041999999999996
1830,8.52,8.023799999999996
1831,7.64,8.014599999999994
1832,7.45,8.005599999999994
1833,8.01,8.012199999999995
1834,8.15,8.017999999999994
1835,7.39,8.018599999999994
1836,7.7,8.007399999999993
1837,7.38,7.9943999999999935
1838,7.51,7.975599999999994
1839,7.63,7.961599999999994
1840,7.8,7.957999999999994
1841,7.69,7.947199999999993
1842,8.02,7.945799999999994
1843,8.17,7.944599999999993
1844,7.65,7.926999999999993
1845,7.85,7.916999999999994
1846,8.55,7.922599999999994
1847,8.09,7.914199999999994
1848,7.98,7.900399999999994
1849,7.98,7.889799999999995
1850,7.9,7.878199999999993
1851,8.18,7.869999999999994
1852,8.1,7.860399999999995
1853,8.04,7.851199999999995
1854,8.21,7.838599999999996
1855,8.11,7.829599999999996
1856,8.0,7.820999999999995
1857,7.76,7.810599999999996
1858,8.1,7.819999999999997
1859,8.25,7.843399999999997
1860,7.96,7.864199999999996
1861,7.85,7.883999999999997
1862,7.56,7.894199999999996
1863,8.11,7.901599999999997
1864,7.98,7.909399999999997
1865,8.18,7.928199999999997
1866,8.29,7.955199999999998
1867,8.44,7.984399999999997
1868,8.25,7.992799999999997
1869,8.43,8.013999999999998
1870,8.2,8.025599999999997
1871,8.12,8.026199999999998
1872,8.19,8.026199999999998
1873,8.35,8.038799999999998
1874,8.43,8.036399999999997
1875,7.86,8.025799999999998
1876,8.08,8.020199999999997
1877,8.54,8.014799999999997
1878,8.83,8.027999999999997
1879,8.17,8.032599999999997
1880,8.12,8.024599999999998
1881,8.27,8.037199999999999
1882,8.13,8.050799999999999
1883,7.98,8.050199999999998
1884,7.77,8.042599999999998
1885,7.92,8.053199999999999
1886,7.95,8.0582
1887,7.91,8.0688
1888,8.09,8.0804
1889,8.32,8.094199999999999
1890,7.97,8.0976
1891,8.02,8.104199999999999
1892,8.07,8.1052
1893,8.06,8.103
1894,8.16,8.1132
1895,8.15,8.1192
1896,8.21,8.1124
1897,8.29,8.1164
1898,8.18,8.1204
1899,8.4,8.128799999999998
1900,8.5,8.140799999999999
1901,8.54,8.148
1902,8.3,8.152
1903,8.22,8.1556
1904,8.09,8.1532
1905,8.23,8.1556
1906,8.38,8.1632
1907,7.95,8.167
1908,8.19,8.1688
1909,8.18,8.167399999999999
1910,8.22,8.1726
1911,8.18,8.1792
1912,8.17,8.1914
1913,8.3,8.1952
1914,8.59,8.2074
1915,8.59,8.215599999999998
1916,8.23,8.214399999999998
1917,8.02,8.205999999999998
